id,doctor_id,specialization
1,1,Cardiology
2,1,Dermatology
3,2,Pediatrics
4,2,Cardiology
5,3,Dermatology
6,4,Cardiology
7,4,Dermatology
8,5,Pediatrics
9,5,Dermatology
10,6,Neurology
11,7,Dermatology
12,8,Neurology
13,9,Cardiology
14,9,Dermatology
15,10,Cardiology
16,11,Dermatology
17,12,Pediatrics
18,13,Cardiology
19,13,Dermatology
20,14,Cardiology
21,14,Pediatrics
22,15,Neurology
23,15,Pediatrics
24,16,Cardiology
25,17,Orthopedics
26,17,Cardiology
27,18,Cardiology
28,18,Dermatology
29,19,Neurology
30,20,Pediatrics
31,20,Orthopedics
32,21,Cardiology
33,22,Neurology
34,22,Cardiology
35,23,Neurology
36,23,Cardiology
37,24,Dermatology
38,25,Cardiology
39,26,Dermatology
40,26,Cardiology
41,27,Dermatology
42,28,Dermatology
43,29,Orthopedics
44,30,Neurology
45,30,Cardiology
46,31,Cardiology
47,32,Pediatrics
48,33,Dermatology
49,33,Cardiology
50,34,Neurology
51,35,Pediatrics
52,35,Neurology
53,36,Pediatrics
54,37,Orthopedics
55,38,Dermatology
56,39,Dermatology
57,40,Neurology
58,40,Dermatology
59,41,Dermatology
60,42,Pediatrics
61,43,Orthopedics
62,44,Pediatrics
63,44,Orthopedics
64,45,Cardiology
65,45,Pediatrics
66,46,Cardiology
67,46,Orthopedics
68,47,Cardiology
69,47,Pediatrics
70,48,Neurology
71,49,Cardiology
72,50,Orthopedics
73,51,Pediatrics
74,52,Pediatrics
75,53,Pediatrics
76,53,Orthopedics
77,54,Dermatology
78,55,Orthopedics
79,56,Dermatology
80,57,Orthopedics
81,58,Pediatrics
82,59,Dermatology
83,60,Neurology
84,61,Cardiology
85,61,Pediatrics
86,62,Pediatrics
87,63,Cardiology
88,63,Neurology
89,64,Orthopedics
90,64,Pediatrics
91,65,Dermatology
92,66,Cardiology
93,66,Pediatrics
94,67,Neurology
95,68,Cardiology
96,68,Pediatrics
97,69,Cardiology
98,69,Orthopedics
99,70,Pediatrics
100,70,Orthopedics
101,71,Dermatology
102,72,Orthopedics
103,72,Pediatrics
104,73,Pediatrics
105,73,Neurology
106,74,Cardiology
107,75,Cardiology
108,75,Pediatrics
109,76,Pediatrics
110,76,Neurology
111,77,Pediatrics
112,77,Dermatology
113,78,Cardiology
114,78,Neurology
115,79,Cardiology
116,80,Dermatology
117,81,Pediatrics
118,81,Orthopedics
119,82,Orthopedics
120,83,Orthopedics
121,83,Neurology
122,84,Orthopedics
123,84,Cardiology
124,85,Pediatrics
125,86,Dermatology
126,86,Cardiology
127,87,Cardiology
128,87,Dermatology
129,88,Cardiology
130,89,Neurology
131,89,Dermatology
132,90,Pediatrics
133,91,Cardiology
134,92,Neurology
135,92,Cardiology
136,93,Dermatology
137,94,Neurology
138,94,Orthopedics
139,95,Cardiology
140,96,Dermatology
141,97,Pediatrics
142,97,Orthopedics
143,98,Neurology
144,99,Cardiology
145,100,Neurology
146,100,Orthopedics
147,101,Cardiology
148,101,Orthopedics
149,102,Orthopedics
150,103,Neurology
151,104,Dermatology
152,104,Pediatrics
153,105,Cardiology
154,105,Orthopedics
155,106,Dermatology
156,107,Pediatrics
157,108,Cardiology
158,109,Orthopedics
159,109,Cardiology
160,110,Cardiology
161,111,Neurology
162,112,Orthopedics
163,112,Cardiology
164,113,Cardiology
